"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 05 17:24:36 GMT+08:00 2022","Wed Jan 05 17:24:36 GMT+08:00 2022","0","testcases.dou","test_dou","TestDou","","","登陆成功",""
"passed","Wed Jan 05 17:24:36 GMT+08:00 2022","Wed Jan 05 17:24:36 GMT+08:00 2022","0","testcases.api","test_api","TestApi","","","登陆成功",""
